model,ratio,Accuracy,Precision,Recall,Specificity,MCC,AUCROC,AUPR,Gmean,ratio_str
SVM,"(0.5, 0.5)",0.8130081300813008,0.8582677165354331,0.7956204379562044,0.8348623853211009,0.626716964390119,0.9053438692827963,0.9387093492844611,0.8150052617267791,50:50
SVM,"(0.7, 0.3)",0.82421875,0.9451219512195121,0.8115183246073299,0.8615384615384616,0.6105331246140075,0.9131695529601289,0.968130966582364,0.8361544408136985,70:30
SVM,"(0.3, 0.7)",0.825531914893617,0.7252747252747253,0.8048780487804879,0.8366013071895425,0.6276729081885735,0.9021999043519846,0.8949304610022056,0.8205863926107504,30:70
SVM,"(0.1, 0.9)",0.8125,0.3684210526315789,0.7777777777777778,0.817258883248731,0.4447982355384914,0.8631321677006957,0.7210891464441875,0.7972739793084598,10:90
SVM,"(0.9, 0.1)",0.8089887640449438,0.9710144927536232,0.8170731707317073,0.7142857142857143,0.34269230286403607,0.8784359272164151,0.9891605812095497,0.7639526774478842,90:10
MLP,"(0.5, 0.5)",0.8252032520325203,0.8852459016393442,0.7883211678832117,0.8715596330275229,0.6556140732728355,0.9178329873434675,0.9429383283941286,0.8288961984399014,50:50
MLP,"(0.7, 0.3)",0.82421875,0.9451219512195121,0.8115183246073299,0.8615384615384616,0.6105331246140075,0.9293596455900122,0.9761862950537721,0.8361544408136985,70:30
MLP,"(0.3, 0.7)",0.8723404255319149,0.8170731707317073,0.8170731707317073,0.9019607843137255,0.7190339550454328,0.916865933365216,0.9071136950154163,0.85846837910017,30:70
MLP,"(0.1, 0.9)",0.8794642857142857,0.5,0.8518518518518519,0.883248730964467,0.5924788411306923,0.9326941154352322,0.8031428417301899,0.8674082470889237,10:90
MLP,"(0.9, 0.1)",0.8202247191011236,0.9852941176470589,0.8170731707317073,0.8571428571428571,0.4274555055615888,0.8974061169183121,0.9909839454057146,0.8368682286093486,90:10
LR,"(0.5, 0.5)",0.8048780487804879,0.8156028368794326,0.8394160583941606,0.7614678899082569,0.60347589756405,0.9029665840755374,0.92824212316742,0.7994925732866488,50:50
LR,"(0.7, 0.3)",0.83984375,0.9310344827586207,0.8481675392670157,0.8153846153846154,0.6189661162998241,0.9237213048731372,0.9732918153303413,0.8316145518128885,70:30
LR,"(0.3, 0.7)",0.7914893617021277,0.6601941747572816,0.8292682926829268,0.7712418300653595,0.5768559762687621,0.9054678782081939,0.8878971405287471,0.799728951372874,30:70
LR,"(0.1, 0.9)",0.7633928571428571,0.3142857142857143,0.8148148148148148,0.7563451776649747,0.40120228140919223,0.8858808046625306,0.7063585249286647,0.7850358309498774,10:90
LR,"(0.9, 0.1)",0.8239700374531835,0.9627906976744186,0.8414634146341463,0.6190476190476191,0.31303748041394425,0.8664343786295006,0.9878763537076667,0.7217381265701208,90:10
AB,"(0.5, 0.5)",0.8170731707317073,0.8333333333333334,0.8394160583941606,0.7889908256880734,0.6290179597447172,0.9217504855019085,0.9447629650810357,0.8138129815923538,50:50
AB,"(0.7, 0.3)",0.83984375,0.936046511627907,0.8429319371727748,0.8307692307692308,0.6245062594982322,0.931614981876762,0.9752954478063639,0.8368284872277256,70:30
AB,"(0.3, 0.7)",0.8085106382978723,0.6761904761904762,0.8658536585365854,0.7777777777777778,0.6170545566465554,0.9211302407141718,0.89311004585308,0.8206349580765763,30:70
AB,"(0.1, 0.9)",0.7544642857142857,0.28125,0.6666666666666666,0.766497461928934,0.3121889314726103,0.8454596728708403,0.705756035075513,0.7148414565150951,10:90
AB,"(0.9, 0.1)",0.8426966292134831,0.9811320754716981,0.8455284552845529,0.8095238095238095,0.43601745760597505,0.9175377468060397,0.9926692107139397,0.8273302944911018,90:10
voting_clf,"(0.5, 0.5)",0.8252032520325203,0.8671875,0.8102189781021898,0.8440366972477065,0.6505415538654288,0.9349762271479275,0.9532311677648466,0.8269549868794456,50:50
voting_clf,"(0.7, 0.3)",0.83984375,0.9411764705882353,0.837696335078534,0.8461538461538461,0.6301742337544624,0.9397503020539669,0.9794626302054509,0.8419144706178191,70:30
voting_clf,"(0.3, 0.7)",0.8340425531914893,0.7263157894736842,0.8414634146341463,0.8300653594771242,0.6522159982801637,0.9314522556990277,0.9166253779723914,0.8357449561649422,30:70
voting_clf,"(0.1, 0.9)",0.8214285714285714,0.38181818181818183,0.7777777777777778,0.8274111675126904,0.45780579363920226,0.9120135363790186,0.7981276685032345,0.802210707468142,10:90
voting_clf,"(0.9, 0.1)",0.8202247191011236,0.9714285714285714,0.8292682926829268,0.7142857142857143,0.35708600317685946,0.9126984126984128,0.9920835044000158,0.7696327012111162,90:10
stacking,"(0.5, 0.5)",0.8252032520325203,0.8790322580645161,0.7956204379562044,0.8623853211009175,0.6537511552647536,0.8839148195272215,0.8794532261834384,0.8283304816685874,50:50
stacking,"(0.7, 0.3)",0.81640625,0.9390243902439024,0.806282722513089,0.8461538461538461,0.5918284238120466,0.8875151026983488,0.943556653765496,0.8259777398585536,70:30
stacking,"(0.3, 0.7)",0.8297872340425532,0.7333333333333333,0.8048780487804879,0.8431372549019608,0.6353786947501459,0.8873346086402041,0.8127143254698095,0.8237855719661683,30:70
stacking,"(0.1, 0.9)",0.8303571428571429,0.39215686274509803,0.7407407407407407,0.8426395939086294,0.45295873673469483,0.8584320360970106,0.4952624761665409,0.7900490345347908,10:90
stacking,"(0.9, 0.1)",0.8089887640449438,0.9710144927536232,0.8170731707317073,0.7142857142857143,0.34269230286403607,0.8406891211769261,0.9758244407775732,0.7639526774478842,90:10
Two_eclf,"(0.5, 0.5)",0.8170731707317073,0.859375,0.8029197080291971,0.8348623853211009,0.6341614901754702,0.8490926136744124,0.8388431310247249,0.8187352824121954,50:50
Two_eclf,"(0.7, 0.3)",0.8203125,0.9341317365269461,0.8167539267015707,0.8307692307692308,0.5918006363619398,0.8494563028594442,0.9174405259085103,0.823731771521296,70:30
Two_eclf,"(0.3, 0.7)",0.8382978723404255,0.7391304347826086,0.8292682926829268,0.8431372549019608,0.6566319296128438,0.862346564642117,0.7324796206430682,0.8361740200878754,30:70
Two_eclf,"(0.1, 0.9)",0.8348214285714286,0.4074074074074074,0.8148148148148148,0.8375634517766497,0.4965844763630328,0.8521338597480729,0.4100778832274206,0.8261108332754437,10:90
Two_eclf,"(0.9, 0.1)",0.8239700374531835,0.9760765550239234,0.8292682926829268,0.7619047619047619,0.3859265809871831,0.7927797135114207,0.9666797551497357,0.7948732358632751,90:10
voting_clf,"(0.5, 0.5)",0.8252032520325203,0.8671875,0.8102189781021898,0.8440366972477065,0.6505415538654288,0.9349762271479275,0.9532311677648466,0.8269549868794456,50:50
voting_clf,"(0.7, 0.3)",0.83984375,0.9411764705882353,0.837696335078534,0.8461538461538461,0.6301742337544624,0.9397503020539669,0.9794626302054509,0.8419144706178191,70:30
voting_clf,"(0.3, 0.7)",0.8340425531914893,0.7263157894736842,0.8414634146341463,0.8300653594771242,0.6522159982801637,0.9314522556990277,0.9166253779723914,0.8357449561649422,30:70
voting_clf,"(0.1, 0.9)",0.8214285714285714,0.38181818181818183,0.7777777777777778,0.8274111675126904,0.45780579363920226,0.9120135363790186,0.7981276685032345,0.802210707468142,10:90
voting_clf,"(0.9, 0.1)",0.8202247191011236,0.9714285714285714,0.8292682926829268,0.7142857142857143,0.35708600317685946,0.9126984126984128,0.9920835044000158,0.7696327012111162,90:10
