LGBM,GBDT,ET,RF,XGBoost,voting_clf,stacking
0.9932981160799128,0.9549444167810806,0.59,0.57,0.9353262,0.8395414448949848,0.9959224578551054
0.9981400401611626,0.95099441049324,0.69,0.71,0.9995499,0.8958966551628212,0.9959224578551054
0.9981529789668424,0.9403484510181198,0.76,0.65,0.9963574,0.9181701201035614,0.9959224578551054
0.9989593663640016,0.9561305104486342,0.7,0.87,0.9995983,0.8995192302209535,0.9959224578551054
0.9967546368357564,0.9484833181701671,0.75,0.83,0.9975278,0.9147608049948025,0.9959224578551054
0.9401899700494032,0.7679332532075159,0.73,0.72,0.9744776,0.8815558530599349,0.9959224578551054
0.9993465666411513,0.9372436984328597,0.85,0.88,0.9985876,0.949311391659518,0.9959224578551054
0.9997300516899879,0.9797254111854017,0.71,0.74,0.9989225,0.9028841928421277,0.9959224578551054
0.9996514706389505,0.9714053438593263,0.75,0.91,0.99985623,0.9165025680785841,0.9959224578551054
0.9993872042956955,0.9626719668228791,0.85,0.82,0.99827886,0.9492220201910538,0.9959224578551054
0.995262101982891,0.9537616557286884,0.68,0.74,0.99894243,0.8914015122568805,0.9959224578551054
0.9994630334807986,0.9779832698960492,0.91,0.94,0.99951243,0.9696584891621787,0.9959224578551054
0.9985711417424974,0.9663135954543284,0.95,0.88,0.9983347,0.9823019491907058,0.9959224578551054
0.9885830741063518,0.8888075611799772,0.51,0.67,0.9923366,0.8303065484409783,0.9959224578551054
0.9742408123330614,0.8746522848370774,0.75,0.73,0.98615855,0.9034664540395584,0.9959224578551054
0.7739631406220246,0.8391161762506743,0.64,0.54,0.947178,0.7870470489314018,0.9959224578551054
0.9986969499638129,0.9568454874963698,0.83,0.89,0.99827766,0.9423248713827944,0.9959224578551054
0.9965317375305933,0.9408732060805922,0.9,0.84,0.9907041,0.9624119522453561,0.9959224578551054
0.9960980915480483,0.9544481344648099,0.67,0.76,0.9984275,0.8881752006031945,0.9959224578551054
0.9693662553616356,0.9313151799314305,0.67,0.71,0.9712118,0.870192682133383,0.9959224578551054
0.9732758956800909,0.8966768085315161,0.51,0.74,0.99587727,0.8263843872034222,0.9959224578551054
0.9977555442501073,0.9514266619478949,0.74,0.65,0.9970193,0.9115916117247265,0.9959224578551054
0.9403954776000079,0.8417432797021561,0.68,0.69,0.94798154,0.8561256713294684,0.9959224578551054
0.9928628886931126,0.9603999985143115,0.74,0.73,0.9972439,0.9100355899728996,0.9959224578551054
0.9996527979547808,0.970252163846741,0.86,0.88,0.9999106,0.9531877969958725,0.9959224578551054
0.9945625663786668,0.9073592321942818,0.85,0.85,0.9812057,0.94192275606889,0.9959224578551054
0.9944011957858079,0.9292650123967073,0.66,0.77,0.99842405,0.8842750829926489,0.9959224578551054
0.9982559682098314,0.819620094581023,0.81,0.76,0.9876059,0.9319539658615087,0.9959224578551054
0.8985052819620611,0.5566599484996418,0.67,0.65,0.96787184,0.8454590422435283,0.9959224578551054
0.9995395947630106,0.966129633190379,0.81,0.88,0.998793,0.9361108669021029,0.9959224578551054
0.9979475855965849,0.954486859899246,0.74,0.75,0.9962924,0.9114133326258737,0.9959224578551054
0.9970612564768464,0.9429178697094679,0.81,0.87,0.99909365,0.9353849694161306,0.9959224578551054
0.8454341793792902,0.6269990817955869,0.54,0.66,0.90465987,0.7633646822219907,0.9959224578551054
0.9675394138216605,0.6670152792888617,0.71,0.69,0.6604608,0.7793334145188209,0.9959224578551054
0.9679940240662868,0.40122019589965224,0.5,0.58,0.99561715,0.8212037251088876,0.9379324160359819
0.9614758671101108,0.832288647243221,0.65,0.7,0.9865645,0.8660134613770967,0.9959224578551054
0.41668529904788537,0.6001596373867583,0.56,0.59,0.7673322,0.581339165094514,0.8659073658210803
0.9956562627435412,0.9562391129248576,0.72,0.82,0.9978064,0.9044875443339575,0.9959224578551054
0.9925410106071387,0.9700176875897987,0.74,0.78,0.998835,0.9104586792750012,0.9959224578551054
0.6009238918052697,0.540121191578372,0.74,0.51,0.4754648,0.6054628942882546,0.8659073658210803
0.9984574994829521,0.9602562913192534,0.76,0.76,0.98928064,0.9159127135206337,0.9959224578551054
0.9193515829357705,0.8168021400016796,0.82,0.74,0.8520353,0.8637956223260429,0.9959224578551054
0.952778901320423,0.5044099860106568,0.62,0.55,0.9767205,0.8498331377445743,0.9959224578551054
0.9530884825438131,0.8682045237458688,0.58,0.59,0.99469614,0.8425948742777066,0.9959224578551054
0.6124066356348798,0.6061531748174961,0.74,0.57,0.86334467,0.7385837683256403,0.9959224578551054
0.997482322496927,0.9080923079608486,0.55,0.73,0.99848795,0.8486567572894216,0.9959224578551054
0.9899571533077574,0.7014009418535482,0.76,0.76,0.87307084,0.8743426631249857,0.9959224578551054
0.7357175238900729,0.3906926137197727,0.57,0.65,0.99362755,0.7664483573692821,0.9379324160359819
0.1834234598718611,0.4783713675176506,0.68,0.67,0.3856781,0.41636719079290924,0.010452549156887283
0.9968921160213031,0.8831016582348143,0.69,0.68,0.997985,0.8949590404666754,0.9959224578551054
0.8488163919287589,0.4476266448409575,0.57,0.52,0.82510847,0.7479749534871071,0.9379324160359819
0.9937922733335082,0.9037705255843766,0.79,0.78,0.9861465,0.9233129276602926,0.9959224578551054
0.8278896236183221,0.6374478028998605,0.58,0.58,0.4569263,0.6216053032796243,0.8659073658210803
0.9679746858708028,0.8158032543041939,0.59,0.71,0.97873926,0.8455713158326666,0.9959224578551054
0.9338716248186167,0.5661647943691112,0.67,0.66,0.90653294,0.8368015226891218,0.9959224578551054
0.9990412267086144,0.9807206830375939,0.86,0.9,0.9998105,0.9529505811809577,0.9959224578551054
0.8380807018655001,0.6445792757831291,0.63,0.61,0.86419004,0.7774235812947968,0.9959224578551054
0.5329915920140671,0.6796683845359462,0.43,0.41,0.18429762,0.3824297377547399,0.8659073658210803
0.9985164302791969,0.948325186212532,0.71,0.74,0.99896514,0.9024938581455354,0.9959224578551054
0.9978052523995631,0.9198023726894116,0.72,0.78,0.9837699,0.9005250486819344,0.9959224578551054
0.25753692465252903,0.4949924386752657,0.6,0.49,0.29125333,0.3829300843252978,0.010452549156887283
0.9980925085738117,0.9614764441097068,0.89,0.86,0.9969223,0.9616716075802781,0.9959224578551054
0.9842720488018063,0.9656194413507968,0.66,0.6,0.9952264,0.879832810670345,0.9959224578551054
0.9755713834356424,0.8228794042879737,0.7,0.64,0.98026043,0.8852772717340508,0.9959224578551054
0.9694342023377747,0.9569397221940211,0.61,0.63,0.9586269,0.8460203760943522,0.9959224578551054
0.9915305477627004,0.9790451723534196,0.56,0.66,0.99554354,0.8490246957622597,0.9959224578551054
0.9995037285757681,0.9792309072018534,0.85,0.92,0.9999361,0.9498132774655229,0.9959224578551054
0.9963593951405647,0.9752135559028124,0.75,0.85,0.99638736,0.9142489192069094,0.9959224578551054
0.9604421127250832,0.8889239355882457,0.75,0.69,0.91969764,0.8767132516838126,0.9959224578551054
0.8244752356182549,0.6565586556877926,0.63,0.74,0.7776868,0.7440540034496457,0.9959224578551054
0.1332338003411107,0.22143822422534512,0.56,0.58,0.61931384,0.4375158788129427,0.2854728849659851
0.9983397817284143,0.9096353087930197,0.89,0.9,0.99859124,0.9623103419830494,0.9959224578551054
0.9988493142779696,0.9434097344987945,0.8,0.84,0.9234609,0.9074367383538361,0.9959224578551054
0.9994249339737333,0.9523282407549417,0.76,0.83,0.9994754,0.9196334511650216,0.9959224578551054
0.8157069215435907,0.4841182648213491,0.42,0.47,0.7855222,0.6737430480208372,0.9379324160359819
0.9989528027388381,0.9471693033689953,0.8,0.77,0.9961027,0.9316851644785181,0.9959224578551054
0.8887752102578578,0.7609853927301419,0.46,0.5,0.9437216,0.7641656008947192,0.9959224578551054
0.9541827112256307,0.7672588628608592,0.67,0.79,0.7611013,0.7950946722368007,0.9959224578551054
0.9163360829256753,0.9192883558759147,0.67,0.8,0.99637043,0.8609021725622409,0.9959224578551054
0.9794356314105986,0.6857934981852261,0.48,0.63,0.96809846,0.8091780310128529,0.9959224578551054
0.938315005474817,0.8988746440949353,0.65,0.7,0.8915476,0.8266208752570984,0.9959224578551054
