0,1,2,3,4,5,6,7,8,9,10,11
0.02251911163330078,0.0,0.17,0.0,0.12,0.0,0.033618755638599396,0.0,0.16,0.0,0.12,0.0
0.9247772097587585,1.0,0.71,1.0,0.4,0.0,0.6394919753074646,1.0,0.58,1.0,0.57,1.0
0.00047119861119426787,0.0,0.07,0.0,0.0,0.0,0.00164325931109488,0.0,0.07,0.0,0.04,0.0
0.2880347967147827,0.0,0.38,0.0,0.32,0.0,0.09209001809358597,0.0,0.42,0.0,0.3,0.0
0.030794521793723106,0.0,0.1,0.0,0.04,0.0,0.015367374755442142,0.0,0.07,0.0,0.08,0.0
0.0411754846572876,0.0,0.07,0.0,0.01,0.0,0.024991929531097412,0.0,0.24,0.0,0.24,0.0
0.19915352761745453,0.0,0.3,0.0,0.31,0.0,0.008676859550178051,0.0,0.24,0.0,0.25,0.0
0.003969348501414061,0.0,0.12,0.0,0.08,0.0,0.001788180903531611,0.0,0.08,0.0,0.1,0.0
0.15934620797634125,0.0,0.43,0.0,0.46,0.0,0.8216759562492371,1.0,0.58,1.0,0.57,1.0
0.0008323946967720985,0.0,0.07,0.0,0.05,0.0,0.0013696776004508138,0.0,0.1,0.0,0.13,0.0
0.7968283295631409,1.0,0.41,0.0,0.33,0.0,0.09959209710359573,0.0,0.44,0.0,0.34,0.0
0.020028676837682724,0.0,0.12,0.0,0.04,0.0,0.03325977176427841,0.0,0.16,0.0,0.05,0.0
0.19959615170955658,0.0,0.45,0.0,0.33,0.0,0.3532795310020447,0.0,0.44,0.0,0.36,0.0
0.002773192012682557,0.0,0.06,0.0,0.12,0.0,0.03167009726166725,0.0,0.24,0.0,0.12,0.0
0.004048036877065897,0.0,0.19,0.0,0.12,0.0,0.44800758361816406,0.0,0.29,0.0,0.27,0.0
0.020451821386814117,0.0,0.08,0.0,0.04,0.0,0.05752008035778999,0.0,0.19,0.0,0.06,0.0
0.010276921093463898,0.0,0.03,0.0,0.04,0.0,0.008529949933290482,0.0,0.05,0.0,0.02,0.0
0.004100659396499395,0.0,0.08,0.0,0.08,0.0,0.0025172363966703415,0.0,0.19,0.0,0.1,0.0
0.00014708269736729562,0.0,0.0,0.0,0.01,0.0,0.0002308526891283691,0.0,0.02,0.0,0.0,0.0
5.642373798764311e-05,0.0,0.0,0.0,0.01,0.0,0.0012784121790900826,0.0,0.02,0.0,0.01,0.0
0.0003889950457960367,0.0,0.03,0.0,0.04,0.0,0.000560820335522294,0.0,0.02,0.0,0.05,0.0
0.03904273733496666,0.0,0.05,0.0,0.05,0.0,0.009610872715711594,0.0,0.12,0.0,0.17,0.0
0.033228494226932526,0.0,0.24,0.0,0.08,0.0,0.008273996412754059,0.0,0.11,0.0,0.03,0.0
0.013081517070531845,0.0,0.12,0.0,0.13,0.0,0.0008305869996547699,0.0,0.13,0.0,0.11,0.0
0.0015891902148723602,0.0,0.05,0.0,0.07,0.0,0.020161589607596397,0.0,0.18,0.0,0.11,0.0
0.0011785362148657441,0.0,0.07,0.0,0.17,0.0,0.014053111895918846,0.0,0.06,0.0,0.15,0.0
