0,1,2,3,4,5
0.02251911163330078,0.17,0.12,0.033618755638599396,0.16,0.12
0.9247772097587585,0.71,0.4,0.6394919753074646,0.58,0.57
0.00047119861119426787,0.07,0.0,0.00164325931109488,0.07,0.04
0.2880347967147827,0.38,0.32,0.09209001809358597,0.42,0.3
0.030794521793723106,0.1,0.04,0.015367374755442142,0.07,0.08
0.0411754846572876,0.07,0.01,0.024991929531097412,0.24,0.24
0.19915352761745453,0.3,0.31,0.008676859550178051,0.24,0.25
0.003969348501414061,0.12,0.08,0.001788180903531611,0.08,0.1
0.15934620797634125,0.43,0.46,0.8216759562492371,0.58,0.57
0.0008323946967720985,0.07,0.05,0.0013696776004508138,0.1,0.13
0.7968283295631409,0.41,0.33,0.09959209710359573,0.44,0.34
0.020028676837682724,0.12,0.04,0.03325977176427841,0.16,0.05
0.19959615170955658,0.45,0.33,0.3532795310020447,0.44,0.36
0.002773192012682557,0.06,0.12,0.03167009726166725,0.24,0.12
0.004048036877065897,0.19,0.12,0.44800758361816406,0.29,0.27
0.020451821386814117,0.08,0.04,0.05752008035778999,0.19,0.06
0.010276921093463898,0.03,0.04,0.008529949933290482,0.05,0.02
0.004100659396499395,0.08,0.08,0.0025172363966703415,0.19,0.1
0.00014708269736729562,0.0,0.01,0.0002308526891283691,0.02,0.0
5.642373798764311e-05,0.0,0.01,0.0012784121790900826,0.02,0.01
0.0003889950457960367,0.03,0.04,0.000560820335522294,0.02,0.05
0.03904273733496666,0.05,0.05,0.009610872715711594,0.12,0.17
0.033228494226932526,0.24,0.08,0.008273996412754059,0.11,0.03
0.013081517070531845,0.12,0.13,0.0008305869996547699,0.13,0.11
0.0015891902148723602,0.05,0.07,0.020161589607596397,0.18,0.11
0.0011785362148657441,0.07,0.17,0.014053111895918846,0.06,0.15
0.0025344023015350103,0.02,0.01,0.00044506651465781033,0.02,0.0
0.0007113089668564498,0.12,0.11,0.002126681851223111,0.22,0.08
0.0688127800822258,0.3,0.12,0.6610546708106995,0.38,0.31
0.016577553004026413,0.11,0.1,0.0970112681388855,0.39,0.25
0.00031571369618177414,0.03,0.08,0.0008818153291940689,0.06,0.04
0.0008375063771381974,0.09,0.06,0.008823285810649395,0.17,0.15
0.0018899936694651842,0.17,0.07,0.0046598161570727825,0.12,0.07
0.0030142785981297493,0.08,0.06,0.011564251966774464,0.11,0.01
0.062280621379613876,0.3,0.26,0.026504158973693848,0.27,0.21
0.0002623248437885195,0.01,0.0,0.00012696250632870942,0.07,0.05
0.6145724058151245,0.26,0.39,0.5965033173561096,0.24,0.25
0.0002318430779268965,0.01,0.01,0.00020206913177389652,0.01,0.0
0.0016263501020148396,0.01,0.06,0.003481157124042511,0.06,0.09
3.948289304389618e-05,0.0,0.02,0.0012158006429672241,0.01,0.09
0.004945734981447458,0.1,0.06,0.005326596088707447,0.28,0.22
