0,1,2,3,4,5,6,7
0.02251911163330078,0.17,0.12,0.03468849278331216,0.033618755638599396,0.16,0.12,0.11222758560286938
0.9247772097587585,0.71,0.4,0.5703778712915072,0.6394919753074646,0.58,0.57,0.7003488855100619
0.00047119861119426787,0.07,0.0,0.006055293661800767,0.00164325931109488,0.07,0.04,0.010609255190339641
0.2880347967147827,0.38,0.32,0.1293839999714399,0.09209001809358597,0.42,0.3,0.12475912719474397
0.030794521793723106,0.1,0.04,0.048875273234190685,0.015367374755442142,0.07,0.08,0.04054926298566859
0.0411754846572876,0.07,0.01,0.10841049172155608,0.024991929531097412,0.24,0.24,0.0888556848556756
0.19915352761745453,0.3,0.31,0.1529691583953278,0.008676859550178051,0.24,0.25,0.17229869579812412
0.003969348501414061,0.12,0.08,0.026186291883903215,0.001788180903531611,0.08,0.1,0.007801399229068003
0.15934620797634125,0.43,0.46,0.20268297700938012,0.8216759562492371,0.58,0.57,0.9275915240261933
0.0008323946967720985,0.07,0.05,0.045798060069187976,0.0013696776004508138,0.1,0.13,0.01257474126184124
0.7968283295631409,0.41,0.33,0.16282028182545216,0.09959209710359573,0.44,0.34,0.20670799068614815
0.020028676837682724,0.12,0.04,0.07426668592940808,0.03325977176427841,0.16,0.05,0.07294263535935178
0.19959615170955658,0.45,0.33,0.2483795790559145,0.3532795310020447,0.44,0.36,0.24990906334216392
0.002773192012682557,0.06,0.12,0.0328539601801425,0.03167009726166725,0.24,0.12,0.048011704703102225
0.004048036877065897,0.19,0.12,0.021503281821725426,0.44800758361816406,0.29,0.27,0.17560838050179314
0.020451821386814117,0.08,0.04,0.08507973331235899,0.05752008035778999,0.19,0.06,0.22162578239883457
0.010276921093463898,0.03,0.04,0.010056026795316716,0.008529949933290482,0.05,0.02,0.01720550011078695
0.004100659396499395,0.08,0.08,0.04104357563961353,0.0025172363966703415,0.19,0.1,0.0063858895120837
0.00014708269736729562,0.0,0.01,0.010065315322769188,0.0002308526891283691,0.02,0.0,0.00751391317808911
5.642373798764311e-05,0.0,0.01,0.006009828407121075,0.0012784121790900826,0.02,0.01,0.010671170706121627
0.0003889950457960367,0.03,0.04,0.017616128467123404,0.000560820335522294,0.02,0.05,0.018155930195538
0.03904273733496666,0.05,0.05,0.05978365707131714,0.009610872715711594,0.12,0.17,0.05001061928940878
0.033228494226932526,0.24,0.08,0.4008385061871848,0.008273996412754059,0.11,0.03,0.07812708217596834
0.013081517070531845,0.12,0.13,0.046407873352918724,0.0008305869996547699,0.13,0.11,0.010606602864453248
0.0015891902148723602,0.05,0.07,0.013428948723843663,0.020161589607596397,0.18,0.11,0.12588108438922224
0.0011785362148657441,0.07,0.17,0.02398077192797892,0.014053111895918846,0.06,0.15,0.02201737036635182
0.0025344023015350103,0.02,0.01,0.013613059577879649,0.00044506651465781033,0.02,0.0,0.007339818401487172
0.0007113089668564498,0.12,0.11,0.0270115800739543,0.002126681851223111,0.22,0.08,0.011743302689064617
0.0688127800822258,0.3,0.12,0.06222001067035023,0.6610546708106995,0.38,0.31,0.252968337087459
0.016577553004026413,0.11,0.1,0.14526444833219507,0.0970112681388855,0.39,0.25,0.50162670860975
0.00031571369618177414,0.03,0.08,0.0060487052695965635,0.0008818153291940689,0.06,0.04,0.006339283612021997
0.0008375063771381974,0.09,0.06,0.017506963382744354,0.008823285810649395,0.17,0.15,0.06275706644976861
0.0018899936694651842,0.17,0.07,0.007568394364872593,0.0046598161570727825,0.12,0.07,0.032494173569302225
0.0030142785981297493,0.08,0.06,0.012533679177954001,0.011564251966774464,0.11,0.01,0.047988378789702794
0.062280621379613876,0.3,0.26,0.15623289244491564,0.026504158973693848,0.27,0.21,0.18962586937020084
