,ACC,F1,F2,GMean,SEN,PREC,SPEC,MCC,AUC,AUPR
Boruta_XGBoost,0.6920821114369502,0.6788990825688073,0.6654676258992807,0.6908900213525403,0.6568047337278107,0.7025316455696202,0.7267441860465116,0.3845689808735826,0.7616623090683914,0.7773410109336667
Boruta_RF,0.7126099706744868,0.6818181818181817,0.6441717791411042,0.7060356279732095,0.621301775147929,0.7553956834532374,0.8023255813953488,0.43103098277936613,0.7734450254575477,0.8071141358889878
Boruta_ET,0.6891495601173021,0.6558441558441559,0.6196319018404908,0.6823473516859488,0.5976331360946746,0.7266187050359713,0.7790697674418605,0.38328644318938276,0.7716217146002476,0.7991760313836576
MRMD_XGBoost,0.6950146627565983,0.6809815950920245,0.6662665066026411,0.6936480763163332,0.6568047337278107,0.7070063694267515,0.7325581395348837,0.3905740419362173,0.7644832805834595,0.8071660798477742
MRMD_RF,0.7067448680351907,0.696969696969697,0.6869772998805258,0.7060356279732096,0.6804733727810651,0.7142857142857143,0.7325581395348837,0.4136581379621603,0.7726881794413101,0.8200933347292361
MRMD_ET,0.7038123167155426,0.6731391585760518,0.6372549019607844,0.6975551478253191,0.6153846153846154,0.7428571428571429,0.7906976744186046,0.4127238618003608,0.7686287326269438,0.8135901067132904
