0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0.2890114165372303,0.0,0.0,0.1066666666666666,0.32,0.5028571428571428,0.2,0.4266666666666666,0.1420118343195266,0.0133136094674556,0.0362426035502958,0.1775147928994083,0.0,0.0,0.0,0.0,0.48,0.0,0.1666666666666666,0.0,0.1666666666666666,0.0,0.1284623442640147,0.0179949877484497,0.0779487179487179,0.0,0.0,0.0,0.2280542986425339,0.1846153846153846,0.12,0.0,0.0,0.0
0.0,0.0,0.0393962375799588,0.3137254901960784,0.0,0.3361344537815126,0.3529411764705882,0.0784313725490196,0.2777777777777778,0.0277777777777777,0.0504115226337448,0.2777777777777778,0.0,0.0,0.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.2127156310735423,0.0469163828982217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4101230532590557,0.0756674824962582,0.0942183625466368,0.1159420289855072,0.1739130434782608,0.2236024844720497,0.3043478260869565,0.3188405797101449,0.1195110909913988,0.0040742417383431,0.0073939942658819,0.1140787686736079,0.0,0.0,0.0,0.1521739130434782,0.0,0.0,0.0,0.3111111111111111,0.0,0.0427360959925391,0.1519252460202715,0.0156495966005814,0.1054579093432007,0.0455682324322472,0.0927712435575525,0.0092506938020351,0.1942645698427381,0.0693802035152636,0.0841813135985198,0.0,0.0,0.020814061054579
0.2309212104015159,0.0,0.0397874823454059,0.0,0.1904761904761904,0.2721088435374149,0.238095238095238,0.2539682539682539,0.2479338842975206,0.1301652892561983,0.1181129476584022,0.2603305785123967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3284660928053444,0.218940909902082,0.0348153118259752,0.0,0.0609267275933942,0.0,0.0,0.320855614973262,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.5,0.0,0.6122448979591837,0.0,0.4999999999999999,0.7346938775510203,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3398616959116136,0.1875610853410695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.7999999999999999,0.0,0.0,0.5,0.0,0.5454545454545454,0.0,0.0674931129476584,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.4475509026734438,0.1952935703347612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0381329241703171,0.0,0.7272727272727272,0.3636363636363636,0.0,0.7272727272727273,0.0,0.5,0.0,0.1134259259259259,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3587520135601815,0.159418773096148,0.0868080798289687,0.0,0.0,0.0,0.303030303030303,0.0,0.0,0.0,0.0,0.0,0.0
0.6369471146268019,0.1762745995283851,0.2194906395484993,0.1185185185185185,0.3555555555555555,0.2539682539682539,0.2888888888888888,0.237037037037037,0.1190926275992438,0.0127599243856332,0.0038594833018273,0.1247637051039697,0.0,0.0666666666666666,0.0,0.0,0.2666666666666666,0.0,0.0909090909090909,0.0,0.1818181818181818,0.0,0.2512512065435269,0.0245887386017773,0.0979066022544283,0.0611916264090177,0.0107660455486542,0.0,0.5132139812446718,0.1014492753623188,0.0376811594202898,0.0507246376811594,0.0359299516908212,0.0869565217391304
0.1040874044809307,0.0,0.0,0.5925925925925926,0.0,0.0,0.6666666666666666,0.0,0.6000000000000001,0.09,0.1633333333333333,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2436283273512274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.3931936677240075,0.0,0.0451645710260307,0.074074074074074,0.3333333333333333,0.1904761904761904,0.2777777777777778,0.2592592592592592,0.1490138787436085,0.0065741417092768,0.029827124421719,0.1621621621621621,0.0,0.0,0.0,0.0,0.0,0.0,0.1142857142857142,0.0,0.0571428571428571,0.0,0.1703118004564103,0.0245969427770131,0.038038038038038,0.0211322433544655,0.0334620334620334,0.0,0.0370959194488606,0.045045045045045,0.0975975975975975,0.0,0.0,0.0
